,MCB ,IBL,SBM,CIEL,Vivo,CIM,EMTEL,PBL,ASCENCIA,AFREXIM,MEDINE,SUN,NMH,LUX,POLICY,NIT,MDIT,BMH,SEMDEX,SEM-10,,
23/05/2025,463,32.45,5.8,8.04,402.25,15.25,21.35,634,18.95,2.8,68,37.25,13.3,45.5,3.7,8.6,8.6,29,2417.82,450.9,,
22/05/2025,464,32.45,5.8,8,402.25,15.25,21.35,633,18.95,2.8,68,37.25,13.4,45.5,3.7,8.6,8.6,29,2413.31,449.58,,
21/05/2025,464,32.8,5.76,7.96,402.25,15.75,21.45,633,18.95,2.8,68,36.6,13.4,46,3.7,8.6,8.6,29,2416.77,450.51,,
20/05/2025,466.5,32.8,5.8,7.96,402.25,15.65,21.45,633,18.95,2.8,68.75,36.6,13.3,46.5,3.78,8.5,8.5,29,2422.12,451.85,,
19/05/2025,Trading Date,32.8,6.24,7.94,402.25,15.65,21.45,632,18.95,2.8,69,36,13.2,47,3.78,8.5,8.5,29,2431.97,454.6,,
16/05/2025,465.25,32.8,6.22,7.94,402,15.6,21.45,631,18.95,2.8,69,36,13.15,47,3.78,8.5,8.5,29,2427.91,453.55,,
15/05/2025,465.25,32.8,6.22,7.94,402,15.6,21.45,631,18.95,2.8,69,36,13.15,47,3.78,8.5,8.5,29,2427.91,453.55,,
14/05/2025,464.75,32.5,6.2,7.92,402,14.85,20.5,630,19,2.8,69,35.6,13.1,48.1,3.66,8.9,8.9,29,2415.48,450.68,,
13/05/2025,465.75,32,6.18,7.94,402,14.85,21,630,19,2.8,69,35.6,13.1,48.1,3.63,8.9,8.9,29,2417.05,450.98,,
12/05/2025,467.5,32,6.18,7.94,402,14.85,21,630,17.8,2.8,68.75,35.6,13.05,48.1,3.63,8.9,8.9,29,2418.36,452.13,,
09/05/2025,465,31,6.2,7.9,401.25,14.55,21,630,17.8,2.8,68.75,35.6,12.95,48.1,3.62,9,9,29,2402.84,448.71,,
08/05/2025,465,31,6.2,7.94,401.25,14.55,20.25,630,17.8,2.8,69,35.5,12.95,49.1,3.66,9,9,29,2400.85,447.91,,
07/05/2025,459.75,31,6.24,7.96,401.25,14.55,20.15,630,17.8,2.8,69,35.5,12.75,49.1,3.75,9,9,29,2389.24,445.49,,
06/05/2025,460,31,6.24,7.98,401.25,14.55,20.2,630,18,2.8,69,35.45,12.95,49.1,3.9,9.5,9.5,29,2391.33,445.74,,
05/05/2025,453,31,6.18,8,401.25,14.95,20.2,630,18,2.8,69,35.45,12.95,49.1,3.9,9.5,9.5,29,2376.82,442.7,,
02/05/2025,451,31,6.2,8,401.25,14.75,20.25,630,17.75,2.8,69,35.45,13,49.1,3.9,9,9,29,2370.3,441.43,,
30/04/2025,450,31,6.04,8,401.25,15.1,20.5,630,18.75,2.8,69,35.45,13,50,3.9,9.2,9.2,29,2365.36,439.47,,
29/04/2025,450,31,6.06,8,401.25,15.1,20.5,630,18.75,2.8,69,35.45,13,50,3.9,9.2,9.2,29,2365.64,439.57,,
25/04/2025,448.5,31,6.1,8,400.25,15.1,20.5,618,18.75,2.8,69.75,35.45,13.2,46.5,3.9,9.5,9.5,29,2374.5,442.28,,
24/04/2025,448.75,31.05,6.2,8.28,400.25,15.2,20.9,618,19,2.8,69.75,35.45,13.2,47,3.75,9.5,9.5,29,2385.17,445.1,,
23/04/2025,450,30.95,6.26,8.4,400.25,15.25,20.9,618,19,2.8,66,35.45,13.2,47.95,3.79,9.5,9.5,29,2392.04,447.59,,
22/04/2025,466.75,31,6.22,8.4,400.25,15.25,21,620,19,2.8,65.5,35.45,13.2,47.95,3.79,9.5,9.5,29,2405.75,451.45,,
21/04/2025,446,32.5,6.22,8.4,400.25,15.25,21,620,18.1,2.8,65.5,35.45,12.55,46.5,3.79,9.5,9.5,29,2352.54,439.89,,
18/04/2025,445,32.5,6.14,8.4,400.25,15.25,21,620,18.1,2.8,65.5,35.5,12.5,48,3.8,9.5,9.5,29,2352.25,438.93,,
17/04/2025,448,32.95,6.14,8.5,400.25,15.25,21,620,18.1,2.8,65.5,35.5,12.5,48,3.79,9.5,9.5,29,2361.15,441.32,,
16/04/2025,448.5,32.95,6.14,8.52,400.25,15.25,20.5,620,18.1,2.8,66,35.5,12.6,48,3.63,9.5,9.5,29,2360.25,441.2,,
15/04/2025,450,32.95,6.2,8.56,400.25,15.25,20.5,620,18.1,2.8,70,35.5,12.6,48,3.64,9.7,9.7,29,2370.47,442.45,,
14/04/2025,455,32.95,6.26,8.6,400.25,15.6,20.5,620,18.5,2.8,70,35.6,12.6,48,3.7,9.7,9.7,32.45,2389.63,445.89,,
11/04/2025,460,32.95,6.26,8.68,400.25,15.6,20.4,620,18.5,2.8,71,36,12.6,49,3.7,9.7,9.7,32.45,2402.89,448.74,,
10/04/2025,460.25,32.95,6.22,8.8,400,15.6,20.4,620,18,2.8,68,36,12.6,50,3.7,9.7,9.7,32.45,2394.72,447.31,,
09/04/2025,445,32.95,6.02,8.52,400.75,15.55,20.4,619,18,2.79,68,36,12.75,47.5,3.55,9.66,9.66,32.45,2356.86,438.42,,
08/04/2025,457,33,6.1,9.1,400.75,15.6,20.5,620,18,2.8,65,36,13,48.5,3.76,9.64,9.64,32.45,2396.83,447.86,,
07/04/2025,435,33,5.9,9.12,400.75,15.6,20.5,620,18,2.8,71.25,36.25,13,49,3.55,10,10,32.45,2357.73,435.93,,
04/04/2025,470,33.5,6.28,9.7,400.75,16.5,21.5,625,18.15,2.8,73.5,37,13.7,50,4,10,10,32.45,2468.49,460.83,,
