,Company,Company Name,Sector,CDS Code,ISIN,MCb Charts,SEM Link,Company Website,Last Annual Report,Company Description
1,MCB Group Limited,MCB Group,Banks &Finance,MCBG.N0000,MU0424N00005,https://brokerage.mcbcapitalmarkets.mu/market/stock-chart-details/36/221?mc_date=60,https://www.stockexchangeofmauritius.com/company-snapshot/official-market/mcb-group-limited?market=official,,,
2,IBL Ltd,IBL LTD,Diversified,IBLL.N0000,MU0521N00008,https://brokerage.mcbcapitalmarkets.mu/market/stock-chart-details/36/272?mc_date=60,https://www.stockexchangeofmauritius.com/company-snapshot/official-market/ibl-ltd?market=official,,,
3,SBM Holdings Ltd,SBMH,Banks &Finance,SBMH.N0000,MU0443N00005,https://brokerage.mcbcapitalmarkets.mu/market/stock-chart-details/36/226?mc_date=60,https://www.stockexchangeofmauritius.com/company-snapshot/official-market/sbm-holdings-ltd?market=official,,,
4,CIEL Limited,CIEL LIMITED,Banks &Finance,CIEL.N0000,MU0177I00025,https://brokerage.mcbcapitalmarkets.mu/market/stock-chart-details/36/217?mc_date=60,https://www.stockexchangeofmauritius.com/company-snapshot/official-market/ciel-limited?market=official,,,
5,Vivo Energy Mauritius Limited,VIVO ENERGY,Commerce,SHEL.N0000,MU0007N00008,https://brokerage.mcbcapitalmarkets.mu/market/stock-chart-details/36/153?mc_date=60,https://www.stockexchangeofmauritius.com/company-snapshot/official-market/vivo-energy-mauritius-limited?market=official,,,
6,Rogers & Company Limited,ROGERS,Diversified,ROGE.N0000,MU0039N00001,,https://www.stockexchangeofmauritius.com/company-snapshot/official-market/rogers-and-company-limited?market=official,,,
7,CIM Financial Services Ltd,CIM FINANCIAL,Banks &Finance,CIM.N0000,MU0373N00004,https://brokerage.mcbcapitalmarkets.mu/market/stock-chart-details/36/203?mc_date=60,https://www.stockexchangeofmauritius.com/company-snapshot/official-market/cim-financial-services-limited?market=official,,,
8,Emtel Limited,EMTEL LIMITED,Communications,EMTL.N0000 ,MU0764N00004,https://brokerage.mcbcapitalmarkets.mu/market/stock-chart-details/36/14465?mc_date=60,https://www.stockexchangeofmauritius.com/company-snapshot/official-market/emtel-limited?market=official,,,
9,Phoenix Beverages Ltd,PBL,Industrials,MBL.N0000,MU0037N00005,https://brokerage.mcbcapitalmarkets.mu/market/stock-chart-details/36/130?mc_date=60,https://www.stockexchangeofmauritius.com/company-snapshot/official-market/phoenix-beverages-limited?market=official,,,
10,ENL Limited,ENL LTD ORD A,Diversified,ENLG.N0000, MU0621N00006,,https://www.stockexchangeofmauritius.com/company-snapshot/official-market/enl-limited?market=official,,,
